custom_layout_1,bfs,0.0,85,446.0
custom_layout_2,bfs,0.0,85,446.0
mediumMaze,bfs,0.0,269,442.0
bigMaze,bfs,0.031,620,300.0
custom_layout_3,bfs,0.0,91,474.0
custom_layout_1,bfs,0.016,85,446.0
custom_layout_2,bfs,0.0,85,446.0
mediumMaze,bfs,0.016,269,442.0
bigMaze,bfs,0.025,620,300.0
custom_layout_3,bfs,0.007,91,474.0
custom_layout_1,bfs,0.0,85,446.0
custom_layout_2,bfs,0.0,85,446.0
mediumMaze,bfs,0.024,269,442.0
bigMaze,bfs,0.031,620,300.0
custom_layout_3,bfs,0.008,91,474.0
custom_layout_1,bfs,0.008,85,446.0
custom_layout_2,bfs,0.008,85,446.0
mediumMaze,bfs,0.008,269,442.0
bigMaze,bfs,0.024,620,300.0
custom_layout_3,bfs,0.006,91,474.0
custom_layout_1,bfs,0.0,85,446.0
custom_layout_2,bfs,0.008,85,446.0
mediumMaze,bfs,0.008,269,442.0
bigMaze,bfs,0.031,620,300.0
custom_layout_3,bfs,0.008,91,474.0
